id,title,initial,writer,composer,arranger
101,あいたくて,あ,工藤直子,新実徳英,
102,青の記念日,あ,長井理佳,横山潤子,
103,青葉の歌,あ,小森香子,熊谷賢一,
104,あかい糸〜先生おめでとう〜,あ,弓削田健介,弓削田健介,
105,赤いやねの家,あ,織田ゆり子,上柴はじめ,
106,あきかん チャ・チャ・チャ！,あ,,中村彩子,
107,AGAIN,あ,春畑セロリ,春畑セロリ,
108,あさがお,あ,山崎朋子,山崎朋子,
109,朝が来た,あ,村田さち子,上柴はじめ,
110,朝靄（あさもや）,あ,藤岡正明,藤岡正明,山崎朋子
111,あした笑顔になあれ,あ,渡辺なつみ,西澤健治,
112,明日がくる,あ,石原一輝,布施美子,
113,あしたのうた,あ,宮本益光,加藤昌則,
114,明日の空へ,あ,ミマス,Sachiko,富澤裕
115,あしたのぼくへ,あ,里乃塚玲央,森山至貴,
116,明日へ,あ,富岡博志,富岡博志,
117,明日へ,あ,ruriko,ruriko,
118,明日へつなぐもの,あ,栂野知子,栂野知子,
119,あすという日が,あ,山本瓔子,八木澤教司,
120,明日に続く道,あ,田附奏,田附奏,
121,新しい朝,あ,山崎朋子,山崎朋子,
122,Adventure,あ,古宮真美子,古宮真美子,
123,あなた,あ,悠道,山崎朋子,
124,あなたへ 旅立ちに寄せるメッセージ,あ,筒井雅子,筒井雅子,
125,あなたへのメッセージ,あ,人見敬子,西澤健治,
126,あははのうた,あ,みなづきみのり,松波千映子,
127,アフリカ音楽の正体 ダイジェスト音源,あ,,,
128,天の川,あ,藤巻吏絵,若松歓,
129,天の川のひとしずく,あ,ミマス,ミマス,富澤裕
130,雨上がりの世界へ,あ,人見敬子,人見敬子,白川雅樹
131,アメイジング・グレイス,あ,,James P.Carrell  David S Clayton,松田昌
132,ありがとう,あ,山本瓔子,大田桜子,
133,ありがとう,あ,若松歓,若松歓,
134,ありがとう6年生,あ,ruriko,ruriko,
135,ありがとう〜桜咲く頃また会おう〜,あ,eye's,松井孝夫,
136,ありがとう友よ〜末来への輝き〜,あ,仙台市立西山中学校平成19年度卒業生,氏家晋也,
137,ありがとうの約束,あ,栂野知子,栂野知子,
138,歩きだすときは今,あ,栗原寛,森山至貴,
139,ＡＲＵＫＩ☆ＤＡＳＯＵ,あ,人見敬子,西澤健治,
140,Under the Same Sky,あ,山本崇雄,栂野知子,
141,アンパンマンのマーチ,あ,やなせたかし,三木たかし,松田昌
201,家路,い,,ドボルザーク,松田昌
202,生きるものたちの賛歌,い,人見敬子,西澤健治,
203,いくつもの一瞬,い,長井理佳,桜田直子,
204,行こうかな どうしよう,い,,千田鉄男,
205,行こう どこまでも,い,ruriko,ruriko,
206,いざたて戦人よ,い,藤井泰一郎,マクグラナハン,
207,いただきます,い,弓削田健介,弓削田健介,
208,1組カチャーシー,い,中村彩子,中村彩子,
209,1/1の君に,い,里乃塚玲央,森山至貴,
210,一等星の夢,い,河原木孝浩,河原木孝浩,
211,一歩,い,中内祥子,理子,ruriko
212,いつかこの海をこえて,い,ミマス,ミマス,富澤裕
213,いつだって青空,い,桜田直子,桜田直子,
214,いつまでも,い,田附奏,田附奏,
215,いつまでも ずっと,い,松長誠,松長誠,
216,いつまでも伝えたい,い,古宮真美子,古宮真美子,
217,いつも なかよしだよ,い,ruriko,ruriko,
218,生命が羽ばたくとき,い,人見敬子,西澤健治,
219,いのちのうた,い,古宮真美子,古宮真美子,
220,いのちの歌,い,Ｍｉｙａｂｉ,村松崇継,富澤裕
221,いのちの地図,い,覚和歌子,信長貴富,
222,イバ・マルタ,い,,中村彩子,
223,いま,い,佐藤賢太郎（Ken-P）,佐藤賢太郎（Ken-P）,
224,今、卒業の時！,い,松長誠,松長誠,
225,いまは小さいけれど,い,石原一輝,桜田直子,
226,今も僕は,い,山崎朋子,山崎朋子,
227,いろいろなかっこう,い,,,千田鉄男
228,ＩＮ ＴＥＲＲＡ  ＰＡＸ 地に平和を,い,鶴見正夫,荻久保和明,
301,Ｗｉｔｈ Ｙｏｕ Ｓｍｉｌｅ,う,水本誠・水本英美,水本誠,富澤裕
302,We are the one,う,吉岡ひとみ,吉岡ひとみ,松井孝夫
303,受けて立つ!!,う,ruriko,ruriko,
304,うたのクリスマス・プレゼント,う,細川眞理子,細川眞理子,秋間ゆう子
